Environment,Covariate,Quantile,Time,Value
SE,n,0.75,0,1.0060812678000846
SE,n,0.75,14,-0.9603943588829933
SE,n,0.75,35,0.46342464070711814
SE,n,0.75,65,-0.28732129938815526
SE,n,0.75,90,1.7591327678825206
SE,N,0.75,0,1.7513332677524094
SE,N,0.75,14,1.214337176174288
SE,N,0.75,35,-0.20291543331865858
SE,N,0.75,65,-0.8785338722324089
SE,N,0.75,90,-1.1618810952000824
SE,PETP,0.25,0,0.2951578149884614
SE,PETP,0.25,14,0.49546634481071683
SE,PETP,0.25,35,1.035200876286064
SE,PETP,0.25,65,0.9414553925887746
SE,PETP,0.25,90,-1.1983973474896725
SE,PETP,0.5,0,0.5777244682391313
SE,PETP,0.5,14,0.5220909701424795
SE,PETP,0.5,35,1.5560474281512457
SE,PETP,0.5,65,1.3857477690161515
SE,PETP,0.5,90,-1.1828527560496729
SE,PETP,0.75,0,-0.619291962033408
SE,PETP,0.75,14,0.2602899722201155
SE,PETP,0.75,35,1.2092126086108608
SE,PETP,0.75,65,1.393472874071333
SE,PETP,0.75,90,-0.7476980264439546
SE,PRECTOT,0.25,0,-1.162709209960952
SE,PRECTOT,0.25,14,-0.425636516753257
SE,PRECTOT,0.25,35,-0.8444466192561303
SE,PRECTOT,0.25,65,-0.5564497419986114
SE,PRECTOT,0.25,90,1.788854381999832
SE,PRECTOT,0.5,0,-0.630334860652526
SE,PRECTOT,0.5,14,0.030737116044290046
SE,PRECTOT,0.5,35,-0.6680976587900915
SE,PRECTOT,0.5,65,-0.7571544016137022
SE,PRECTOT,0.5,90,1.752809295254882
SE,PRECTOT,0.75,0,-1.5207872986306543
SE,PRECTOT,0.75,14,0.34408263830086466
SE,PRECTOT,0.75,35,0.5143101612449162
SE,PRECTOT,0.75,65,-1.5500395478350908
SE,PRECTOT,0.75,90,1.763241114885307
SE,Ra,0.25,0,-0.0819218697328292
SE,Ra,0.25,14,-0.5489564956356376
SE,Ra,0.25,35,-0.8001572529209501
SE,Ra,0.25,65,-0.9957947814022452
SE,Ra,0.25,90,-1.2580605260797173
SE,Ra,0.5,0,0.0792921679431675
SE,Ra,0.5,14,-0.474669469495436
SE,Ra,0.5,35,-0.7461535773361045
SE,Ra,0.5,65,-0.9487943460787991
SE,Ra,0.5,90,-1.184378627730802
SE,Ra,0.75,0,0.2942035723251645
SE,Ra,0.75,14,-0.3766384885483516
SE,Ra,0.75,35,-0.6874617723905458
SE,Ra,0.75,65,-0.9036640768396134
SE,Ra,0.75,90,-1.1170479000254934
SE,RH2M,0.25,0,0.4233949195580717
SE,RH2M,0.25,14,0.25637322737404217
SE,RH2M,0.25,35,0.0069362686222275965
SE,RH2M,0.25,65,-0.21338239533673695
SE,RH2M,0.25,90,1.2223381115193144
SE,RH2M,0.5,0,0.5841386010091533
SE,RH2M,0.5,14,0.35823746025558867
SE,RH2M,0.5,35,-0.2635010218913462
SE,RH2M,0.5,65,0.23428060001184947
SE,RH2M,0.5,90,1.2259327586225133
SE,RH2M,0.75,0,0.21869136370636935
SE,RH2M,0.75,14,0.3079478909682426
SE,RH2M,0.75,35,-0.16658567746568098
SE,RH2M,0.75,65,0.32804399368712295
SE,RH2M,0.75,90,1.2573563784503798
SE,SPV,0.25,0,-0.5674937557050671
SE,SPV,0.25,14,-0.626092941389982
SE,SPV,0.25,35,-0.9566503254732953
SE,SPV,0.25,65,-1.1774903195323547
SE,SPV,0.25,90,-1.1792665226634091
SE,SPV,0.5,0,-0.625181259227637
SE,SPV,0.5,14,-0.7850712972529504
SE,SPV,0.5,35,-1.083717215321205
SE,SPV,0.5,65,-1.1340800432054814
SE,SPV,0.5,90,-1.0201724031338004
SE,SPV,0.75,0,-0.6924558325553616
SE,SPV,0.75,14,-0.8539474994152549
SE,SPV,0.75,35,-0.9143006855304473
SE,SPV,0.75,65,-1.0404047085920376
SE,SPV,0.75,90,-0.7806297595893328
SE,Srad,0.25,0,-0.7723133665850138
SE,Srad,0.25,14,-1.0193274126662812
SE,Srad,0.25,35,-1.5873166220463015
SE,Srad,0.25,65,-1.5218138673500274
SE,Srad,0.25,90,1.3466740871591065
SE,Srad,0.5,0,-1.4351824442173344
SE,Srad,0.5,14,-1.7307921674918316
SE,Srad,0.5,35,-1.4504425175542253
SE,Srad,0.5,65,-1.2549410037188398
SE,Srad,0.5,90,1.388023761881618
SE,Srad,0.75,0,0.8434678690371885
SE,Srad,0.75,14,-1.2498710842248515
SE,Srad,0.75,35,-0.9093695197971551
SE,Srad,0.75,65,-1.421229058685856
SE,Srad,0.75,90,1.6997975795380025
SE,T2M_MAX,0.25,0,-0.3712417257325154
SE,T2M_MAX,0.25,14,-0.4502155737543885
SE,T2M_MAX,0.25,35,-0.7014260956107146
SE,T2M_MAX,0.25,65,-1.3404854351501128
SE,T2M_MAX,0.25,90,-1.3724778042183343
SE,T2M_MAX,0.5,0,-0.8991014145045877
SE,T2M_MAX,0.5,14,-0.6906738724043595
SE,T2M_MAX,0.5,35,-0.6814648904515835
SE,T2M_MAX,0.5,65,-1.085261817916979
SE,T2M_MAX,0.5,90,-1.1540921790654692
SE,T2M_MAX,0.75,0,-0.9834814509355784
SE,T2M_MAX,0.75,14,-0.7867617838239646
SE,T2M_MAX,0.75,35,-0.7001652631637657
SE,T2M_MAX,0.75,65,-0.9328603777863215
SE,T2M_MAX,0.75,90,-1.1423370945123676
SE,T2M_MIN,0.25,0,-1.1303833015485625
SE,T2M_MIN,0.25,14,-0.828836301930337
SE,T2M_MIN,0.25,35,-1.1673120520450089
SE,T2M_MIN,0.25,65,-1.1227363956519676
SE,T2M_MIN,0.25,90,-1.0755202916040714
SE,T2M_MIN,0.5,0,-0.7142542295802459
SE,T2M_MIN,0.5,14,-0.7667702988050524
SE,T2M_MIN,0.5,35,-1.346587856364123
SE,T2M_MIN,0.5,65,-1.0497238982041541
SE,T2M_MIN,0.5,90,-0.9286171724088126
SE,T2M_MIN,0.75,0,-0.42336591261872275
SE,T2M_MIN,0.75,14,-0.7976077527988943
SE,T2M_MIN,0.75,35,-1.1597744495818607
SE,T2M_MIN,0.75,65,-1.1025529255953357
SE,T2M_MIN,0.75,90,-0.7562095060610742
SE,T2M,0.25,0,-0.5971037791774252
SE,T2M,0.25,14,-0.5753989237227276
SE,T2M,0.25,35,-0.9262528356908101
SE,T2M,0.25,65,-1.1788092610747816
SE,T2M,0.25,90,-1.2352091213757415
SE,T2M,0.5,0,-0.6950122686130548
SE,T2M,0.5,14,-0.7139994561558097
SE,T2M,0.5,35,-1.0978126549513538
SE,T2M,0.5,65,-1.17031058035388
SE,T2M,0.5,90,-1.0434374314199446
SE,T2M,0.75,0,-0.6277703041197787
SE,T2M,0.75,14,-0.7606062811485937
SE,T2M,0.75,35,-0.9491907709331592
SE,T2M,0.75,65,-1.1770798030526046
SE,T2M,0.75,90,-0.8982090307707523
SE,T2MDEW,0.25,0,-0.04168360317408533
SE,T2MDEW,0.25,14,-0.6559827036542473
SE,T2MDEW,0.25,35,-1.0629680842298843
SE,T2MDEW,0.25,65,-0.9443322204179789
