env,gid,value
1_PI_LN,L023xL046,3.0598151034709176
1_PI_LN,L023xL047,4.589618059470917
1_PI_LN,L023xL048,3.5994108317882683
1_PI_LN,L023xL054,2.6112633196427852
1_PI_LN,L023xL055,4.404678909205168
1_PI_LN,L023xL056,3.7598347476427847
1_PI_LN,L024xL007B,4.609790169364951
1_PI_LN,L024xL014B,4.4831367061790885
1_PI_LN,L024xL014C,3.462167148325492
1_PI_LN,L024xL025,6.203433820788268
1_PI_LN,L024xL026,3.748098994100771
1_PI_LN,L024xL027,4.07839001926482
1_PI_LN,L024xL028,3.5258392073170746
1_PI_LN,L024xL032,4.897076836325492
1_PI_LN,L024xL033,3.1947765272779347
1_PI_LN,L024xL034,2.6966583317856516
1_PI_LN,L024xL037,3.501654856251647
1_PI_LN,L024xL038,3.5227952181007716
1_PI_LN,L024xL039,3.6663537862051685
1_PI_LN,L024xL044,2.716532909521483
1_PI_LN,L024xL046,5.124317661205168
1_PI_LN,L024xL048,3.9284612269037344
1_PI_LN,L024xL049,5.066228512957512
1_PI_LN,L024xL055,5.587405532565864
1_PI_LN,L024xL056,3.3859807681007714
1_PI_LN,L024xL058,1.7264864591790887
1_PI_LN,L025xL014B,3.222941209788268
1_PI_LN,L025xL028,3.376668631788268
1_PI_LN,L025xL029,3.6209329978312206
1_PI_LN,L025xL033,1.9554434924351018
1_PI_LN,L025xL035,2.8769428508312207
1_PI_LN,L025xL041,2.2634945748312205
1_PI_LN,L025xL046,4.095494398685776
1_PI_LN,L025xL047,1.498934641788268
1_PI_LN,L025xL049,2.6044305348312204
1_PI_LN,L025xL055,1.3500462988312205
1_PI_LN,L025xL056,4.957285006630557
1_PI_LN,L026xL007B,4.096222423205168
1_PI_LN,L026xL028,3.8504809309037347
1_PI_LN,L026xL029,3.2522788450990943
1_PI_LN,L026xL031,3.3119832780990945
1_PI_LN,L026xL033,3.349323180099095
1_PI_LN,L026xL035,3.3974924259037342
1_PI_LN,L026xL037,4.7032010772051684
1_PI_LN,L026xL038,4.415727121099095
1_PI_LN,L026xL039,3.5889866789037344
1_PI_LN,L026xL044,2.5808038122648207
1_PI_LN,L026xL045,4.2649729755214825
1_PI_LN,L026xL046,5.634979586115247
1_PI_LN,L026xL048,2.896025223642785
1_PI_LN,L026xL049,5.4836296213898565
